num_trades,total_return,win_rate,avg_win,avg_loss,profit_loss_ratio,score,STOP_LOSS,TAKE_PROFIT,HOLD_DAYS
41856,720.3674,0.4941,0.1112,-0.0746,1.4906,1.739843,0.1,0.25,15
41856,720.3674,0.4941,0.1112,-0.0746,1.4906,1.739843,0.1,0.15,15
41856,720.3674,0.4941,0.1112,-0.0746,1.4906,1.739843,0.1,0.2,15
41856,720.3674,0.4941,0.1112,-0.0746,1.4906,1.739843,0.1,0.3,15
41874,704.6362,0.5,0.1108,-0.0771,1.4368,1.721556,0.12,0.25,15
41874,704.6362,0.5,0.1108,-0.0771,1.4368,1.721556,0.12,0.2,15
41874,704.6362,0.5,0.1108,-0.0771,1.4368,1.721556,0.12,0.15,15
41874,704.6362,0.5,0.1108,-0.0771,1.4368,1.721556,0.12,0.3,15
41883,697.481,0.5045,0.1104,-0.0789,1.4005,1.719556,0.15,0.25,15
41883,697.481,0.5045,0.1104,-0.0789,1.4005,1.719556,0.15,0.3,15
41883,697.481,0.5045,0.1104,-0.0789,1.4005,1.719556,0.15,0.2,15
41883,697.481,0.5045,0.1104,-0.0789,1.4005,1.719556,0.15,0.15,15
41880,697.1546,0.5017,0.1106,-0.0779,1.4191,1.709012,0.13,0.2,15
41880,697.1546,0.5017,0.1106,-0.0779,1.4191,1.709012,0.13,0.25,15
41880,697.1546,0.5017,0.1106,-0.0779,1.4191,1.709012,0.13,0.3,15
41880,697.1546,0.5017,0.1106,-0.0779,1.4191,1.709012,0.13,0.15,15
41843,723.7312,0.4813,0.1123,-0.0708,1.5853,1.702699,0.08,0.3,15
41843,723.7312,0.4813,0.1123,-0.0708,1.5853,1.702699,0.08,0.2,15
41843,723.7312,0.4813,0.1123,-0.0708,1.5853,1.702699,0.08,0.25,15
41843,723.7312,0.4813,0.1123,-0.0708,1.5853,1.702699,0.08,0.15,15
42178,583.0917,0.4995,0.0945,-0.0667,1.4166,1.418247,0.15,0.3,11
42178,583.0917,0.4995,0.0945,-0.0667,1.4166,1.418247,0.15,0.2,11
42178,583.0917,0.4995,0.0945,-0.0667,1.4166,1.418247,0.15,0.15,11
42178,583.0917,0.4995,0.0945,-0.0667,1.4166,1.418247,0.15,0.25,11
41792,586.7819,0.49,0.0834,-0.0526,1.5859,1.406382,0.08,0.2,7
41792,586.7819,0.49,0.0834,-0.0526,1.5859,1.406382,0.08,0.3,7
41792,586.7819,0.49,0.0834,-0.0526,1.5859,1.406382,0.08,0.25,7
41792,586.7819,0.49,0.0834,-0.0526,1.5859,1.406382,0.08,0.15,7
42175,576.9087,0.498,0.0946,-0.0666,1.4207,1.398895,0.13,0.2,11
42175,576.9087,0.498,0.0946,-0.0666,1.4207,1.398895,0.13,0.3,11
42175,576.9087,0.498,0.0946,-0.0666,1.4207,1.398895,0.13,0.25,11
42175,576.9087,0.498,0.0946,-0.0666,1.4207,1.398895,0.13,0.15,11
42163,582.0548,0.4932,0.0949,-0.0651,1.4574,1.398059,0.1,0.25,11
42163,582.0548,0.4932,0.0949,-0.0651,1.4574,1.398059,0.1,0.2,11
42163,582.0548,0.4932,0.0949,-0.0651,1.4574,1.398059,0.1,0.3,11
42163,582.0548,0.4932,0.0949,-0.0651,1.4574,1.398059,0.1,0.15,11
42173,577.2039,0.4968,0.0947,-0.0663,1.4286,1.396245,0.12,0.25,11
42173,577.2039,0.4968,0.0947,-0.0663,1.4286,1.396245,0.12,0.3,11
42173,577.2039,0.4968,0.0947,-0.0663,1.4286,1.396245,0.12,0.15,11
42173,577.2039,0.4968,0.0947,-0.0663,1.4286,1.396245,0.12,0.2,11
41793,572.1693,0.4933,0.0832,-0.054,1.5412,1.380752,0.1,0.2,7
41793,572.1693,0.4933,0.0832,-0.054,1.5412,1.380752,0.1,0.15,7
41793,572.1693,0.4933,0.0832,-0.054,1.5412,1.380752,0.1,0.3,7
41793,572.1693,0.4933,0.0832,-0.054,1.5412,1.380752,0.1,0.25,7
42157,582.0651,0.4849,0.0954,-0.063,1.5143,1.374644,0.08,0.3,11
42157,582.0651,0.4849,0.0954,-0.063,1.5143,1.374644,0.08,0.15,11
42157,582.0651,0.4849,0.0954,-0.063,1.5143,1.374644,0.08,0.2,11
42157,582.0651,0.4849,0.0954,-0.063,1.5143,1.374644,0.08,0.25,11
41795,565.2603,0.4949,0.0831,-0.0546,1.5209,1.368282,0.12,0.3,7
41795,565.2603,0.4949,0.0831,-0.0546,1.5209,1.368282,0.12,0.15,7
41795,565.2603,0.4949,0.0831,-0.0546,1.5209,1.368282,0.12,0.25,7
41795,565.2603,0.4949,0.0831,-0.0546,1.5209,1.368282,0.12,0.2,7
41795,560.0757,0.495,0.0831,-0.0549,1.5135,1.355994,0.13,0.3,7
41795,560.0757,0.495,0.0831,-0.0549,1.5135,1.355994,0.13,0.15,7
41795,560.0757,0.495,0.0831,-0.0549,1.5135,1.355994,0.13,0.25,7
41795,560.0757,0.495,0.0831,-0.0549,1.5135,1.355994,0.13,0.2,7
41796,557.0144,0.4953,0.0831,-0.0551,1.5072,1.349446,0.15,0.15,7
41796,557.0144,0.4953,0.0831,-0.0551,1.5072,1.349446,0.15,0.25,7
41796,557.0144,0.4953,0.0831,-0.0551,1.5072,1.349446,0.15,0.2,7
41796,557.0144,0.4953,0.0831,-0.0551,1.5072,1.349446,0.15,0.3,7
41744,553.0126,0.4889,0.0886,-0.0589,1.5055,1.323387,0.08,0.2,9
41744,553.0126,0.4889,0.0886,-0.0589,1.5055,1.323387,0.08,0.25,9
41744,553.0126,0.4889,0.0886,-0.0589,1.5055,1.323387,0.08,0.15,9
41744,553.0126,0.4889,0.0886,-0.0589,1.5055,1.323387,0.08,0.3,9
41744,543.0612,0.4947,0.0883,-0.0607,1.4549,1.314791,0.1,0.25,9
41744,543.0612,0.4947,0.0883,-0.0607,1.4549,1.314791,0.1,0.15,9
41744,543.0612,0.4947,0.0883,-0.0607,1.4549,1.314791,0.1,0.2,9
41744,543.0612,0.4947,0.0883,-0.0607,1.4549,1.314791,0.1,0.3,9
41770,530.0614,0.5037,0.0689,-0.0444,1.5533,1.306335,0.08,0.25,5
41770,530.0614,0.5037,0.0689,-0.0444,1.5533,1.306335,0.08,0.2,5
41770,530.0614,0.5037,0.0689,-0.0444,1.5533,1.306335,0.08,0.3,5
41770,530.0614,0.5037,0.0689,-0.0444,1.5533,1.306335,0.08,0.15,5
41746,535.7276,0.4971,0.0882,-0.0617,1.4304,1.303349,0.12,0.2,9
41746,535.7276,0.4971,0.0882,-0.0617,1.4304,1.303349,0.12,0.3,9
41746,535.7276,0.4971,0.0882,-0.0617,1.4304,1.303349,0.12,0.25,9
41746,535.7276,0.4971,0.0882,-0.0617,1.4304,1.303349,0.12,0.15,9
41772,525.9675,0.5055,0.0689,-0.0449,1.5328,1.300773,0.1,0.3,5
41772,525.9675,0.5055,0.0689,-0.0449,1.5328,1.300773,0.1,0.25,5
41772,525.9675,0.5055,0.0689,-0.0449,1.5328,1.300773,0.1,0.15,5
41772,525.9675,0.5055,0.0689,-0.0449,1.5328,1.300773,0.1,0.2,5
41774,524.4227,0.5066,0.0688,-0.0452,1.5218,1.299931,0.12,0.3,5
41774,524.4227,0.5066,0.0688,-0.0452,1.5218,1.299931,0.12,0.15,5
41774,524.4227,0.5066,0.0688,-0.0452,1.5218,1.299931,0.12,0.2,5
41774,524.4227,0.5066,0.0688,-0.0452,1.5218,1.299931,0.12,0.25,5
41774,523.8597,0.5069,0.0688,-0.0453,1.5192,1.299149,0.15,0.3,5
41774,523.8597,0.5069,0.0688,-0.0453,1.5192,1.299149,0.15,0.15,5
41774,523.8597,0.5069,0.0688,-0.0453,1.5192,1.299149,0.15,0.2,5
41774,523.8597,0.5069,0.0688,-0.0453,1.5192,1.299149,0.15,0.25,5
41746,532.1257,0.4976,0.0882,-0.0619,1.4233,1.295896,0.13,0.25,9
41746,532.1257,0.4976,0.0882,-0.0619,1.4233,1.295896,0.13,0.3,9
41746,532.1257,0.4976,0.0882,-0.0619,1.4233,1.295896,0.13,0.15,9
41746,532.1257,0.4976,0.0882,-0.0619,1.4233,1.295896,0.13,0.2,9
41774,522.7601,0.5067,0.0688,-0.0453,1.5189,1.295871,0.13,0.2,5
41774,522.7601,0.5067,0.0688,-0.0453,1.5189,1.295871,0.13,0.15,5
41774,522.7601,0.5067,0.0688,-0.0453,1.5189,1.295871,0.13,0.25,5
41774,522.7601,0.5067,0.0688,-0.0453,1.5189,1.295871,0.13,0.3,5
41747,530.6387,0.4985,0.0881,-0.0622,1.4158,1.294593,0.15,0.15,9
41747,530.6387,0.4985,0.0881,-0.0622,1.4158,1.294593,0.15,0.2,9
41747,530.6387,0.4985,0.0881,-0.0622,1.4158,1.294593,0.15,0.25,9
41747,530.6387,0.4985,0.0881,-0.0622,1.4158,1.294593,0.15,0.3,9
